,Set_ID,Name,Year,Theme,Theme_Group,Subtheme,Category,Packaging,Num_Instructions,Availability,Pieces,Minifigures,Owned,Rating,USD_MSRP,Total_Quantity,Current_Price,lastUpdated,US_retailPrice,ownedBy,wantedBy
0,10015-1,Green Passenger Wagon,2001.0,Trains,Modern day,9V,Normal,Box,1.0,Retail - limited,194.0,,1846.0,3.8,19.99,5.0,84.44,2019-09-17T02:50:04.52Z,19.99,1848.0,1001.0
2,10047-1,Arch,2002.0,Bulk Bricks,Basic,,Normal,Polybag,0.0,LEGO exclusive,36.0,,104.0,0.0,5.99,3.0,7.95,,,,
3,10062-1,Red Plates,2002.0,Bulk Bricks,Basic,,Normal,Polybag,0.0,LEGO exclusive,84.0,,63.0,0.0,4.99,2.0,7.0,,,,
4,10073-1,Technic Bushes,2003.0,Bulk Bricks,Basic,Technic,Normal,Polybag,0.0,LEGO exclusive,130.0,,111.0,0.0,9.99,1.0,10.98,,,,
5,10078-1,Train Connection Wire,2003.0,Trains,Modern day,9V,Normal,Polybag,0.0,LEGO exclusive,1.0,,332.0,0.0,8.99,2.0,75.0,,,,
6,10080-1,Angel,2003.0,Seasonal,Miscellaneous,Christmas,Normal,Polybag,1.0,LEGO exclusive,33.0,,608.0,0.0,2.49,1.0,15.0,,,,
7,10143-1,Death Star II,2005.0,Star Wars,Licensed,Ultimate Collector Series,Normal,Box,1.0,LEGO exclusive,3441.0,,2884.0,4.4,269.99,6.0,1800.0,2023-02-05T11:11:40.16Z,269.99,2888.0,8409.0
8,10144-1,Sandcrawler,2005.0,Star Wars,Licensed,Episode IV,Normal,Box,1.0,LEGO exclusive,1669.0,11.0,4564.0,4.4,139.99,5.0,388.88,2023-02-05T11:11:50.3Z,139.99,4568.0,4954.0
9,10153-1,Train Motor 9 V,2002.0,Trains,Modern day,9V,Normal,Box,1.0,Retail - limited,3.0,,1251.0,4.2,24.99,16.0,114.99,,,,
11,10168-1,Mrs. Bunny,2005.0,Seasonal,Miscellaneous,Easter,Normal,Polybag,1.0,LEGO exclusive,61.0,,208.0,0.0,3.99,1.0,9.0,,,,
12,10173-1,Holiday Train,2006.0,Advanced models,Model making,Trains,Normal,Box,2.0,LEGO exclusive,965.0,7.0,2156.0,4.2,89.99,2.0,499.97,2023-02-05T11:09:19.25Z,89.99,2160.0,3284.0
13,10174-1,Imperial AT-ST,2006.0,Star Wars,Licensed,Ultimate Collector Series,Normal,Box,3.0,LEGO exclusive,1068.0,,5777.0,4.4,79.99,5.0,570.0,2023-02-05T11:10:09.533Z,79.99,5788.0,6114.0
14,10175-1,Vader's TIE Advanced,2006.0,Star Wars,Licensed,Ultimate Collector Series,Normal,Box,2.0,LEGO exclusive,1212.0,,3477.0,4.4,99.99,3.0,979.0,2023-02-05T11:10:24.797Z,99.99,3476.0,6657.0
15,10176-1,King's Castle,2006.0,Castle,Historical,Knights' Kingdom II,Normal,Box,4.0,LEGO exclusive,869.0,12.0,1202.0,4.4,99.99,1.0,499.0,,,,
16,10177-1,Boeing 787 Dreamliner,2006.0,Advanced models,Model making,Aircraft,Normal,Box,2.0,LEGO exclusive,1197.0,,1576.0,4.5,79.99,3.0,635.0,,,,
17,10178-1,Motorized Walking AT-AT,2007.0,Star Wars,Licensed,Episode V,Normal,Box,3.0,LEGO exclusive,1137.0,4.0,5869.0,4.5,129.99,1.0,590.0,2023-02-05T11:05:47.743Z,129.99,5871.0,5890.0
18,10179-1,Ultimate Collector's Millennium Falcon,2007.0,Star Wars,Licensed,Ultimate Collector Series,Normal,Box,1.0,LEGO exclusive,5197.0,5.0,4567.0,4.7,499.99,1.0,1645.9363,2019-07-03T22:14:57.957Z,499.99,4572.0,9901.0
20,10182-1,Cafe Corner,2007.0,Advanced models,Model making,Modular Buildings Collection,Normal,Box,2.0,LEGO exclusive,2056.0,3.0,7307.0,4.4,139.99,4.0,1850.0,2021-12-07T08:12:48.947Z,139.99,7320.0,13949.0
21,10184-1,Town Plan,2008.0,Advanced models,Model making,Miscellaneous,Normal,Box,2.0,LEGO exclusive,1981.0,8.0,3583.0,4.7,149.99,2.0,335.9511,2023-02-05T10:58:50.34Z,149.99,3588.0,5278.0
22,10185-1,Green Grocer,2008.0,Advanced models,Model making,Modular Buildings Collection,Normal,Box,3.0,LEGO exclusive,2352.0,4.0,9048.0,4.6,149.99,5.0,1500.0,2023-02-05T10:59:33.36Z,149.99,9052.0,13730.0
23,10186-1,General Grievous,2008.0,Star Wars,Licensed,Ultimate Collector Series,Normal,Box,2.0,LEGO exclusive,1085.0,,2675.0,4.2,89.99,3.0,350.0,2023-02-05T11:01:15.233Z,89.99,2681.0,3904.0
24,10187-1,Volkswagen Beetle,2008.0,Advanced models,Model making,Vehicles,Normal,Box,2.0,LEGO exclusive,1626.0,,1787.0,4.3,119.99,1.0,625.0,2023-02-05T11:02:03.48Z,119.99,1791.0,3626.0
25,10188-1,Death Star,2008.0,Star Wars,Licensed,Ultimate Collector Series,Normal,Box,3.0,LEGO exclusive,3803.0,24.0,14793.0,4.5,399.99,14.0,869.99,2023-02-05T11:02:15.423Z,399.99,14816.0,8329.0
27,10190-1,Market Street,2007.0,Advanced models,Model making,Modular Buildings Collection,Normal,Box,0.0,LEGO exclusive,1248.0,3.0,4627.0,4.3,89.99,2.0,3099.99,2021-12-07T08:14:45.06Z,89.99,4631.0,8974.0
28,10191-1,Star Justice,2008.0,Factory,Miscellaneous,Space,Normal,Box,0.0,LEGO exclusive,895.0,8.0,491.0,0.0,99.99,1.0,109.2469,,,,
29,10192-1,Space Skulls,2008.0,Factory,Miscellaneous,Space,Normal,Box,0.0,LEGO exclusive,956.0,4.0,606.0,3.9,99.99,2.0,74.7789,2023-02-05T11:04:14.997Z,99.99,608.0,632.0
30,10193-1,Medieval Market Village,2009.0,Castle,Historical,Fantasy Era,Normal,Box,2.0,LEGO exclusive,1601.0,8.0,10710.0,4.6,99.99,15.0,419.99,2023-02-05T10:57:07.113Z,99.99,10725.0,5845.0
31,10194-1,Emerald Night,2009.0,Advanced models,Model making,Trains,Normal,Box,2.0,LEGO exclusive,1085.0,3.0,6085.0,4.6,99.99,8.0,743.2448,2023-02-05T10:57:18.7Z,99.99,6099.0,5413.0
32,10195-1,Republic Dropship with AT-OT Walker,2009.0,Star Wars,Licensed,The Clone Wars,Normal,Box,6.0,LEGO exclusive,1758.0,8.0,4187.0,4.5,249.99,3.0,1439.5109,2009-03-23T11:16:54.11Z,249.99,4200.0,9604.0
33,10196-1,Grand Carousel,2009.0,Advanced models,Model making,Fairground Collection,Normal,Box,2.0,LEGO exclusive,3263.0,9.0,2463.0,4.3,249.99,1.0,2380.7918,,,,
34,10197-1,Fire Brigade,2009.0,Advanced models,Model making,Modular Buildings Collection,Normal,Box,4.0,LEGO exclusive,2231.0,4.0,16804.0,4.5,149.99,11.0,723.0887,2023-02-05T10:57:47.61Z,149.99,16818.0,10745.0
35,10198-1,Tantive IV,2009.0,Star Wars,Licensed,Episode IV,Normal,Box,2.0,LEGO exclusive,1408.0,5.0,5851.0,4.4,149.99,3.0,379.95,2015-10-13T20:27:08.977Z,149.99,5862.0,7698.0
36,10199-1,Winter Village Toy Shop,2009.0,Advanced models,Model making,Winter Village Collection,Normal,Box,1.0,LEGO exclusive,815.0,7.0,11264.0,4.1,59.99,10.0,220.2346,2023-02-05T10:57:33.307Z,59.99,11271.0,4937.0
37,10200-1,Custom Car Garage,2008.0,Factory,Miscellaneous,Custom Cars,Normal,Box,0.0,LEGO exclusive,893.0,4.0,729.0,0.0,69.99,2.0,110.6153,2023-02-05T11:05:01.49Z,69.99,730.0,1268.0
38,10210-1,Imperial Flagship,2010.0,Advanced models,Model making,Miscellaneous,Normal,Box,4.0,LEGO exclusive,1664.0,9.0,5433.0,4.6,179.99,7.0,1275.374,2023-02-05T10:55:12.527Z,179.99,5435.0,7510.0
39,10211-1,Grand Emporium,2010.0,Advanced models,Model making,Modular Buildings Collection,Normal,Box,6.0,LEGO exclusive,2182.0,7.0,19906.0,4.4,149.99,19.0,514.99,2023-02-05T10:55:23.527Z,149.99,19929.0,10603.0
40,10212-1,Imperial Shuttle,2010.0,Star Wars,Licensed,Ultimate Collector Series,Normal,Box,8.0,LEGO exclusive,2503.0,5.0,7361.0,4.5,259.99,9.0,1050.0,2016-05-18T15:20:48.72Z,259.99,7365.0,11656.0
41,10213-1,Shuttle Adventure,2010.0,Advanced models,Model making,Space,Normal,Box,2.0,LEGO exclusive,1204.0,3.0,3916.0,4.5,99.99,1.0,389.99,2012-09-15T00:54:11.373Z,99.99,3921.0,3943.0
42,10214-1,Tower Bridge,2010.0,Advanced models,Model making,Landmarks,Normal,Box,12.0,LEGO exclusive,4287.0,,14047.0,4.2,239.99,23.0,255.0,2023-02-05T11:21:01.82Z,239.99,14058.0,5414.0
43,10215-1,Obi-Wan's Jedi Starfighter,2010.0,Star Wars,Licensed,Ultimate Collector Series,Normal,Box,2.0,LEGO exclusive,676.0,,5236.0,4.1,99.99,4.0,305.0699,2012-07-07T17:25:45.31Z,99.99,5235.0,6165.0
44,10216-1,Winter Village Bakery,2010.0,Advanced models,Model making,Winter Village Collection,Normal,Box,2.0,LEGO exclusive,687.0,7.0,11008.0,4.1,54.99,2.0,355.0,2023-02-05T10:56:01.01Z,54.99,11013.0,6158.0
45,10217-1,Diagon Alley,2011.0,Harry Potter,Licensed,General,Normal,Box,6.0,LEGO exclusive,2025.0,12.0,6083.0,4.3,149.99,3.0,377.8796,2021-04-07T11:06:58.333Z,149.99,6090.0,5415.0
46,10218-1,Pet Shop,2011.0,Advanced models,Model making,Modular Buildings Collection,Normal,Box,4.0,Retail - limited,2032.0,4.0,25758.0,4.3,149.99,47.0,325.0,2013-01-24T09:38:07.76Z,149.99,25790.0,8531.0
47,10219-1,Maersk Train,2011.0,Advanced models,Model making,Trains,Normal,Box,2.0,LEGO exclusive,1234.0,3.0,6150.0,4.6,119.99,9.0,420.0,2021-09-21T20:51:31.24Z,119.99,6162.0,4996.0
48,10220-1,Volkswagen T1 Camper Van,2011.0,Advanced models,Model making,Vehicles,Normal,Box,10.0,LEGO exclusive,1334.0,,26974.0,4.4,119.99,27.0,135.0,2023-02-05T10:54:01.367Z,119.99,27010.0,4156.0
49,10221-1,Super Star Destroyer ,2011.0,Star Wars,Licensed,Ultimate Collector Series,Normal,Box,1.0,LEGO exclusive,3152.0,5.0,7640.0,4.4,399.99,9.0,1499.99,2011-04-12T14:27:03.42Z,399.99,7643.0,11673.0
50,10222-1,Winter Village Post Office,2011.0,Advanced models,Model making,Winter Village Collection,Normal,Box,3.0,LEGO exclusive,822.0,7.0,8868.0,4.3,69.99,3.0,499.0,2023-02-05T10:54:13.25Z,69.99,8871.0,6473.0
51,10223-1,Kingdoms Joust,2012.0,Castle,Historical,Kingdoms,Normal,Box,4.0,LEGO exclusive,1575.0,9.0,4873.0,4.6,119.99,5.0,310.6422,2023-02-05T10:50:20.423Z,119.99,4881.0,4008.0
52,10224-1,Town Hall,2012.0,Advanced models,Model making,Modular Buildings Collection,Normal,Box,6.0,LEGO exclusive,2766.0,8.0,14509.0,4.4,199.99,14.0,1196.1534,2023-02-05T10:51:53.39Z,199.99,14520.0,11141.0
53,10225-1,R2-D2,2012.0,Star Wars,Licensed,Ultimate Collector Series,Normal,Box,6.0,LEGO exclusive,2127.0,1.0,11164.0,4.4,179.99,5.0,230.0,2012-01-16T01:56:08.927Z,179.99,11186.0,6415.0
54,10226-1,Sopwith Camel,2012.0,Advanced models,Model making,Aircraft,Normal,Box,4.0,LEGO exclusive,883.0,,6600.0,4.5,99.99,7.0,180.0,2023-02-05T10:52:18.737Z,99.99,6603.0,3678.0
55,10227-1,B-wing Starfighter,2012.0,Star Wars,Licensed,Ultimate Collector Series,Normal,Box,6.0,LEGO exclusive,1487.0,,6309.0,4.2,199.99,12.0,550.0,2021-09-25T19:41:49.487Z,199.99,6311.0,7723.0
56,10228-1,Haunted House,2012.0,Monster Fighters,Action/Adventure,,Normal,Box,6.0,LEGO exclusive,2064.0,6.0,9880.0,4.5,179.99,4.0,495.0,2012-10-17T22:45:13.487Z,179.99,9887.0,6486.0
57,10229-1,Winter Village Cottage,2012.0,Advanced models,Model making,Winter Village Collection,Normal,Box,4.0,LEGO exclusive,1490.0,8.0,9618.0,4.3,99.99,5.0,330.0,2023-02-05T10:52:38.303Z,99.99,9619.0,6590.0
58,10230-1,Mini Modulars,2012.0,Promotional,Miscellaneous,Gift with Purchase,Normal,Box,2.0,LEGO exclusive,1356.0,,5483.0,4.4,79.99,6.0,238.22,2023-02-05T10:53:14.4Z,79.99,5487.0,3999.0
59,10231-1,Shuttle Expedition,2011.0,Advanced models,Model making,Space,Normal,Box,4.0,LEGO exclusive,1230.0,3.0,3869.0,4.5,99.99,1.0,449.95,2012-09-15T00:48:41.11Z,99.99,3873.0,4516.0
60,10232-1,Palace Cinema,2013.0,Creator Expert,Model making,Modular Buildings Collection,Normal,Box,6.0,LEGO exclusive,2196.0,6.0,26341.0,4.2,149.99,34.0,449.99,2023-02-05T10:47:22.697Z,149.99,26384.0,8571.0
61,10233-1,Horizon Express,2013.0,Creator Expert,Model making,Trains,Normal,Box,6.0,LEGO exclusive,1351.0,6.0,6240.0,4.4,129.99,3.0,313.5544,2023-02-05T10:47:46.24Z,129.99,6247.0,4417.0
62,10234-1,Sydney Opera House,2013.0,Creator Expert,Model making,Landmarks,Normal,Box,8.0,LEGO exclusive,2989.0,,6227.0,4.2,319.99,6.0,374.99,2023-02-05T11:20:01.93Z,319.99,6232.0,4916.0
63,10235-1,Winter Village Market,2013.0,Creator Expert,Model making,Winter Village Collection,Normal,Box,4.0,LEGO exclusive,1261.0,9.0,11089.0,4.1,99.99,11.0,209.68,2023-02-05T10:48:07.04Z,99.99,11097.0,5919.0
64,10236-1,Ewok Village,2013.0,Star Wars,Licensed,Ultimate Collector Series,Normal,Box,6.0,LEGO exclusive,1990.0,17.0,13260.0,4.5,249.99,21.0,550.0,2016-04-14T19:47:28.033Z,249.99,13280.0,10472.0
65,10237-1,Tower of Orthanc,2013.0,The Lord of the Rings,Licensed,The Two Towers,Normal,Box,6.0,LEGO exclusive,2359.0,5.0,7899.0,4.7,199.99,22.0,799.0,2013-04-29T12:18:20.177Z,199.99,7910.0,5988.0
66,10240-1,Red Five X-wing Starfighter,2013.0,Star Wars,Licensed,Ultimate Collector Series,Normal,Box,6.0,LEGO exclusive,1559.0,1.0,10831.0,4.5,199.99,8.0,300.0,2021-09-27T19:16:58.553Z,199.99,10838.0,8173.0
67,10241-1,Maersk Line Triple-E,2014.0,Creator Expert,Model making,Maersk,Normal,Box,4.0,LEGO exclusive,1518.0,,3212.0,4.2,149.99,9.0,275.0,2021-10-15T02:22:17.69Z,149.99,3215.0,4015.0
68,10242-1,MINI Cooper MK VII,2014.0,Creator Expert,Model making,Vehicles,Normal,Box,8.0,LEGO exclusive,1077.0,,17339.0,4.4,99.99,8.0,220.0,2023-02-05T10:45:46.37Z,99.99,17365.0,4439.0
69,10243-1,Parisian Restaurant,2014.0,Creator Expert,Model making,Modular Buildings Collection,Normal,Box,6.0,LEGO exclusive,2469.0,5.0,29429.0,4.6,159.99,40.0,299.1191,2023-02-05T10:45:56.52Z,159.99,29480.0,8509.0
70,10244-1,Fairground Mixer,2014.0,Creator Expert,Model making,Fairground Collection,Normal,Box,6.0,LEGO exclusive,1746.0,12.0,8945.0,4.2,149.99,4.0,250.0,2022-06-08T02:02:17.593Z,149.99,8955.0,4196.0
71,10245-1,Santa's Workshop,2014.0,Creator Expert,Model making,Winter Village Collection,Normal,Box,4.0,LEGO exclusive,883.0,6.0,15648.0,4.1,69.99,13.0,205.68,2023-02-05T10:46:08.537Z,69.99,15661.0,4901.0
72,10246-1,Detective's Office,2015.0,Creator Expert,Model making,Modular Buildings Collection,Normal,Box,2.0,LEGO exclusive,2262.0,6.0,24706.0,4.5,159.99,16.0,490.0,2023-02-05T10:45:00.047Z,159.99,24751.0,8635.0
73,10247-1,Ferris Wheel,2015.0,Creator Expert,Model making,Fairground Collection,Normal,Box,2.0,LEGO exclusive,2464.0,10.0,12311.0,4.3,199.99,6.0,366.322,2022-06-08T02:02:31.857Z,199.99,12328.0,5227.0
74,10248-1,Ferrari F40,2015.0,Creator Expert,Model making,Vehicles,Normal,Box,2.0,LEGO exclusive,1158.0,,10072.0,4.4,99.99,19.0,315.0,2015-07-21T02:16:30.2Z,99.99,10085.0,3881.0
75,10249-1,Winter Toy Shop,2015.0,Creator Expert,Model making,Winter Village Collection,Normal,Box,4.0,LEGO exclusive,898.0,8.0,12257.0,4.1,79.99,5.0,200.0,2022-10-03T08:22:06.387Z,79.99,12271.0,4362.0
76,10251-1,Brick Bank,2016.0,Creator Expert,Model making,Modular Buildings Collection,Normal,Box,2.0,LEGO exclusive,2380.0,5.0,20785.0,4.4,169.99,23.0,597.62,2023-02-05T10:44:16.117Z,169.99,20820.0,8453.0
77,10252-1,Volkswagen Beetle,2016.0,Creator Expert,Model making,Vehicles,Normal,Box,2.0,LEGO exclusive,1167.0,,15815.0,4.3,99.99,15.0,157.0,2016-11-19T06:00:58.59Z,99.99,15846.0,3735.0
78,10253-1,Big Ben,2016.0,Creator Expert,Model making,Landmarks,Normal,Box,2.0,LEGO exclusive,4163.0,,6885.0,4.2,249.99,3.0,395.0,2023-02-05T11:20:09.507Z,249.99,6894.0,4279.0
79,10254-1,Winter Holiday Train,2016.0,Creator Expert,Model making,Winter Village Collection,Normal,Box,4.0,LEGO exclusive,734.0,5.0,17138.0,4.1,99.99,28.0,225.0,2023-02-05T10:44:27.087Z,99.99,17169.0,3560.0
80,10255-1,Assembly Square,2017.0,Creator Expert,Model making,Modular Buildings Collection,Normal,Box,2.0,LEGO exclusive,4002.0,9.0,26028.0,4.4,299.99,20.0,299.95,2023-02-05T10:42:45.43Z,299.99,26138.0,6971.0
81,10256-1,Taj Mahal,2017.0,Creator Expert,Model making,Landmarks,Normal,Box,2.0,LEGO exclusive,5923.0,,4384.0,4.0,369.99,3.0,404.991,2023-02-05T11:20:17.103Z,369.99,4397.0,2673.0
82,10257-1,Carousel,2017.0,Creator Expert,Model making,Fairground Collection,Normal,Box,2.0,LEGO exclusive,2670.0,7.0,8752.0,4.2,199.99,12.0,440.0,2022-06-08T02:02:41.067Z,199.99,8763.0,4366.0
83,10258-1,London Bus,2017.0,Creator Expert,Model making,Vehicles,Normal,Box,2.0,LEGO exclusive,1686.0,,12204.0,4.2,139.99,12.0,121.491,2018-02-23T02:29:51.547Z,139.99,12242.0,3453.0
84,10259-1,Winter Village Station,2017.0,Creator Expert,Model making,Winter Village Collection,Normal,Box,4.0,LEGO exclusive,902.0,5.0,12718.0,3.9,79.99,27.0,203.6194,2022-10-03T08:22:35.147Z,79.99,12735.0,3518.0
85,10260-1,Downtown Diner,2018.0,Creator Expert,Model making,Modular Buildings Collection,Normal,Box,2.0,LEGO exclusive,2480.0,6.0,19879.0,4.3,169.99,36.0,330.3709,2022-12-11T09:29:48.127Z,169.99,19931.0,6535.0
86,10261-1,Roller Coaster,2018.0,Creator Expert,Model making,Fairground Collection,Normal,Box,4.0,LEGO exclusive,4124.0,11.0,11086.0,4.3,379.99,16.0,383.6797,2022-06-08T02:02:53.28Z,379.99,11116.0,5494.0
87,10262-1,James Bond Aston Martin DB5,2018.0,Creator Expert,Model making,Vehicles,Normal,Box,9.0,LEGO exclusive,1290.0,,12009.0,4.3,149.99,30.0,184.7063,2020-08-18T08:32:59.027Z,149.99,12045.0,3512.0
88,10263-1,Winter Village Fire Station,2018.0,Creator Expert,Model making,Winter Village Collection,Normal,Box,4.0,LEGO exclusive,1166.0,8.0,12132.0,3.9,99.99,21.0,166.99,2023-02-05T10:42:01.397Z,99.99,12157.0,2998.0
89,10264-1,Corner Garage,2019.0,Creator Expert,Model making,Modular Buildings Collection,Normal,Box,2.0,LEGO exclusive,2569.0,6.0,17423.0,4.1,199.99,81.0,258.3622,2021-12-07T08:18:43.263Z,199.99,17485.0,5469.0
90,10265-1,Ford Mustang,2019.0,Creator Expert,Model making,Vehicles,Normal,Box,9.0,LEGO exclusive,1471.0,,15100.0,4.5,169.99,4.0,130.0,2019-03-03T04:15:50.987Z,169.99,15162.0,3814.0
91,10266-1,NASA Apollo 11 Lunar Lander,2019.0,Creator Expert,Model making,Space,Normal,Box,10.0,LEGO exclusive,1087.0,2.0,18817.0,4.4,99.99,19.0,85.0,2019-08-07T22:43:59.72Z,99.99,18904.0,3826.0
92,10267-1,Gingerbread House,2019.0,Creator Expert,Model making,Winter Village Collection,Normal,Box,4.0,LEGO exclusive,1477.0,2.0,14741.0,4.2,99.99,57.0,127.0,2023-02-05T10:39:40.273Z,99.99,14800.0,3336.0
93,10268-1,Vestas Wind Turbine,2018.0,Creator Expert,Model making,Vestas,Normal,Box,2.0,LEGO exclusive,826.0,3.0,4296.0,4.0,199.99,9.0,222.1783,2023-02-05T10:33:04.317Z,199.99,4305.0,2844.0
94,10269-1,Harley-Davidson Fat Boy,2019.0,Creator Expert,Model making,Vehicles,Normal,Box,10.0,LEGO exclusive,1023.0,,7107.0,4.2,99.99,19.0,111.99,2023-02-05T10:40:18.247Z,99.99,7129.0,2124.0
95,10270-1,Bookshop,2020.0,Creator Expert,Model making,Modular Buildings Collection,Normal,Box,4.0,LEGO exclusive,2504.0,5.0,19889.0,4.2,199.99,31.0,160.7747,2023-02-05T10:38:32.137Z,199.99,20003.0,5536.0
96,10271-1,Fiat 500,2020.0,Creator Expert,Model making,Vehicles,Normal,Box,8.0,LEGO exclusive,960.0,,9981.0,4.2,89.99,14.0,107.99,2023-02-05T10:38:47.637Z,89.99,10028.0,2343.0
97,10272-1,Old Trafford - Manchester United,2020.0,Creator Expert,Model making,Stadiums,Normal,Box,7.0,LEGO exclusive,3898.0,,2494.0,4.3,299.99,14.0,369.8847,2023-02-05T11:23:00.723Z,299.99,2503.0,1445.0
98,10273-1,Haunted House,2020.0,Icons,Model making,Fairground Collection,Normal,Box,8.0,LEGO exclusive,3231.0,10.0,10378.0,4.4,299.99,6.0,250.0,2022-06-08T02:08:30.293Z,299.99,10438.0,4406.0
99,10274-1,Ghostbusters ECTO-1,2020.0,Icons,Model making,Vehicles,Normal,Box,10.0,LEGO exclusive,2352.0,,10585.0,4.4,239.99,9.0,218.1427,2022-09-18T22:15:06.557Z,239.99,10674.0,3218.0
100,10275-1,Elf Club House,2020.0,Icons,Model making,Winter Village Collection,Normal,Box,5.0,LEGO exclusive,1197.0,4.0,13857.0,4.1,99.99,44.0,135.0,2022-10-03T08:24:32.553Z,99.99,13912.0,2400.0
101,10276-1,Colosseum,2020.0,Icons,Model making,Landmarks,Normal,Box,48.0,LEGO exclusive,9036.0,,2883.0,4.3,549.99,3.0,399.99,2023-02-05T11:19:35.883Z,549.99,2903.0,3160.0
102,10277-1,Crocodile Locomotive,2020.0,Icons,Model making,Trains,Normal,Box,7.0,LEGO exclusive,1271.0,2.0,7670.0,4.3,99.99,22.0,119.99,2023-02-05T10:39:01.553Z,99.99,7699.0,2324.0
103,10278-1,Police Station,2021.0,Icons,Model making,Modular Buildings Collection,Normal,Box,9.0,LEGO exclusive,2923.0,5.0,15205.0,4.4,199.99,18.0,245.0,2021-12-07T08:19:00.913Z,199.99,15328.0,4707.0
104,10279-1,Volkswagen T2 Camper Van,2021.0,Icons,Model making,Vehicles,Normal,Box,7.0,LEGO exclusive,2207.0,,4800.0,4.0,179.99,16.0,169.5,2021-08-12T23:05:30.803Z,179.99,4841.0,2397.0
105,10280-1,Flower Bouquet,2021.0,Icons,Model making,Botanical Collection,Normal,Box,11.0,Retail,756.0,,14297.0,4.2,59.99,5.0,41.9958,2022-02-20T21:16:12.41Z,59.99,14478.0,2138.0
106,10281-1,Bonsai Tree,2021.0,Icons,Model making,Botanical Collection,Normal,Box,11.0,Retail,878.0,,17980.0,4.4,49.99,12.0,31.2,2022-02-20T21:16:40.687Z,49.99,18177.0,2945.0
107,10282-1,Adidas Originals Superstar,2021.0,Icons,Model making,Adidas,Normal,Box,8.0,LEGO exclusive,731.0,,4064.0,4.2,79.99,7.0,64.95,2023-02-05T10:37:19.787Z,79.99,4080.0,708.0
109,10283-1,NASA Space Shuttle Discovery,2021.0,Icons,Model making,Space,Normal,Box,7.0,LEGO exclusive,2354.0,,11000.0,4.6,199.99,11.0,149.99,2021-04-14T06:38:53.03Z,199.99,11091.0,3721.0
110,10284-1,Camp Nou - FC Barcelona,2021.0,Icons,Model making,Stadiums,Normal,Box,14.0,LEGO exclusive,5509.0,,1400.0,4.3,349.99,5.0,330.0,2022-06-23T11:20:52.117Z,349.99,1415.0,656.0
112,10287-1,Intelligent NXT Brick (Black),2009.0,Mindstorms,Technical,NXT,Normal,{Not specified},0.0,{Not specified},1.0,,99.0,0.0,169.99,1.0,180.0,,,,
113,10289-1,Bird of Paradise,2021.0,Icons,Model making,Botanical Collection,Normal,Box,7.0,Retail,1173.0,,5925.0,4.0,99.99,2.0,94.99,2022-12-30T19:34:47.18Z,99.99,5995.0,2240.0
114,10290-1,Pickup Truck,2021.0,Icons,Model making,Vehicles,Normal,Box,7.0,LEGO exclusive,1677.0,,5718.0,4.1,129.99,8.0,95.0,2021-10-17T22:43:10.343Z,129.99,5764.0,2513.0
115,10291-1,Queer Eye – The Fab 5 Loft,2021.0,Icons,Model making,Licensed,Normal,Box,7.0,LEGO exclusive,974.0,7.0,3507.0,4.1,99.99,1.0,65.0,2022-06-24T01:51:28.47Z,99.99,3550.0,551.0
116,10292-1,The Friends Apartments,2021.0,Icons,Model making,Licensed,Normal,Box,7.0,LEGO exclusive,2048.0,7.0,6638.0,4.3,179.99,14.0,119.99,2022-06-24T01:51:38.903Z,179.99,6690.0,2526.0
117,10293-1,Santa's Visit,2021.0,Icons,Model making,Winter Village Collection,Normal,Box,15.0,LEGO exclusive,1445.0,4.0,11229.0,4.3,99.99,4.0,101.37,2022-10-03T08:24:39.49Z,99.99,11312.0,2326.0
118,10294-1,Titanic,2021.0,Icons,Model making,Miscellaneous,Normal,Box,27.0,LEGO exclusive,9090.0,,3994.0,4.6,679.99,8.0,640.0,2021-11-12T15:03:40.44Z,679.99,4038.0,3838.0
119,10295-1,Porsche 911,2021.0,Icons,Model making,Vehicles,Normal,Box,7.0,LEGO exclusive,1458.0,,8641.0,4.5,169.99,12.0,131.25,2021-01-29T11:38:41.303Z,169.99,8706.0,2886.0
120,10297-1,Boutique Hotel,2022.0,Icons,Model making,Modular Buildings Collection,Normal,Box,9.0,LEGO exclusive,3066.0,7.0,11519.0,4.4,229.99,15.0,175.2,2022-12-21T21:22:23.223Z,229.99,11665.0,4523.0
121,10298-1,Vespa 125,2022.0,Icons,Model making,Vehicles,Normal,Box,8.0,LEGO exclusive,1106.0,,5066.0,4.1,99.99,4.0,70.0,2022-02-28T17:54:12.99Z,99.99,5154.0,1691.0
123,10300-1,Back to the Future Time Machine,2022.0,Icons,Model making,Vehicles,Normal,Box,8.0,LEGO exclusive,1872.0,2.0,8363.0,4.6,199.99,12.0,159.944,2023-03-16T22:16:09.233Z,199.99,8525.0,3808.0
124,10302-1,Optimus Prime,2022.0,Icons,Model making,Licensed,Normal,Box,7.0,LEGO exclusive,1508.0,,6910.0,4.3,179.99,8.0,137.67,2022-12-19T06:53:52.977Z,179.99,7011.0,2197.0
125,10303-1,Loop Coaster,2022.0,Icons,Model making,Fairground Collection,Normal,Box,2.0,LEGO exclusive,3756.0,11.0,2865.0,4.6,399.99,1.0,345.0,2022-07-15T03:14:42.507Z,399.99,2914.0,2792.0
